id,shop_no,original_name,clean_name,district,excise_range,search_query,google_maps_url,address,latitude,longitude,rating,reviews_count,timings,phone_number,signature_dishes,vibe_summary,geocoded,menu_extracted,verified,website
11,4,Pravachambalam,Pravachambalam Toddy Shop,Thiruvananthapuram,Neyyattinkara,"Pravachambalam Toddy Shop, Neyyattinkara, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Punchakkari+ruchiyidamToddy+Shop/@8.4489377,76.9027259,13z/data=!4m10!1m2!2m1!1sPravachambalam+Toddy+Shop,+Neyyattinkara,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05bad0316e78d3:0xc4240d6a8aed2dbd!8m2!3d8.4489377!4d76.9748237!15sCktQcmF2YWNoYW1iYWxhbSBUb2RkeSBTaG9wLCBOZXl5YXR0aW5rYXJhLCBUaGlydXZhbmFudGhhcHVyYW0sIEtlcmFsYSwgSW5kaWFaSSJHcHJhdmFjaGFtYmFsYW0gdG9kZHkgc2hvcCBuZXl5YXR0aW5rYXJhIHRoaXJ1dmFuYW50aGFwdXJhbSBrZXJhbGEgaW5kaWGSAQNiYXLgAQA!16s%2Fg%2F11c538xg_2?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,1,0,0,
12,1,Pazhauchakada,Pazhauchakada Toddy Shop,Thiruvananthapuram,Thirupuram,"Pazhauchakada Toddy Shop, Thirupuram, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Thoppady+Toddy+Shop/@8.4189862,76.8217911,12z/data=!4m10!1m2!2m1!1sPazhauchakada+Toddy+Shop,+Thirupuram,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05a5aa0af501c1:0x4187481a69e24382!8m2!3d8.4189862!4d76.9659867!15sCktQYXpoYXlhIFVjaGFra2FkYSBUb2RkeSBTaG9wLCBUaGlydXB1cmFtLCBUaGlydXZhbmFudGhhcHVyYW0sIEtlcmFsYSwgSW5kaWFaSSJHcGF6aGF5YSB1Y2hha2thZGEgdG9kZHkgc2hvcCB0aGlydXB1cmFtIHRoaXJ1dmFuYW50aGFwdXJhbSBrZXJhbGEgaW5kaWGSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11g1hsppxx?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,1,0,0,
13,2,Kadakulam,Kadakulam Toddy Shop,Thiruvananthapuram,Thirupuram,"Kadakulam Toddy Shop, Thirupuram, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Punchakkari+Toddy+shop/@8.4495021,76.6870003,11z/data=!4m10!1m2!2m1!1sKadakulam+Toddy+Shop,+Thirupuram,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05bb003a49c70d:0xaf331d04923b51f0!8m2!3d8.4495021!4d76.9753914!15sCkNLYWRha3VsYW0gVG9kZHkgU2hvcCwgVGhpcnVwdXJhbSwgVGhpcnV2YW5hbnRoYXB1cmFtLCBLZXJhbGEsIEluZGlhWkEiP2thZGFrdWxhbSB0b2RkeSBzaG9wIHRoaXJ1cHVyYW0gdGhpcnV2YW5hbnRoYXB1cmFtIGtlcmFsYSBpbmRpYZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11w1k09b98?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,1,0,0,
14,3,Arumanoor,Arumanoor Toddy Shop,Thiruvananthapuram,Thirupuram,"Arumanoor Toddy Shop, Thirupuram, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Arumanur+toddy+shop,+Kottayam/@9.6492978,75.4317651,9z/data=!4m10!1m2!2m1!1sArumanoor+Toddy+Shop,+Thirupuram,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b07d32516b0f117:0x5ce999ed086f7382!8m2!3d9.6492978!4d76.5853296!15sCkNBcnVtYW5vb3IgVG9kZHkgU2hvcCwgVGhpcnVwdXJhbSwgVGhpcnV2YW5hbnRoYXB1cmFtLCBLZXJhbGEsIEluZGlhWkEiP2FydW1hbm9vciB0b2RkeSBzaG9wIHRoaXJ1cHVyYW0gdGhpcnV2YW5hbnRoYXB1cmFtIGtlcmFsYSBpbmRpYZIBA2JhcuABAA!16s%2Fg%2F11f_j2cpv5?entry=ttu&g_ep=EgoyMDI2MDUyNy4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,1,0,0,
15,4,Avanakuzhi,Avanakuzhi Toddy Shop,Thiruvananthapuram,Thirupuram,"Avanakuzhi Toddy Shop, Thirupuram, Thiruvananthapuram, Kerala, India","https://www.google.com/maps/place/Punchakkari+ruchiyidamToddy+Shop/@8.4489377,75.8212592,9z/data=!4m10!1m2!2m1!1sAvanakuzhi+Toddy+Shop,+Thirupuram,+Thiruvananthapuram,+Kerala,+India!3m6!1s0x3b05bad0316e78d3:0xc4240d6a8aed2dbd!8m2!3d8.4489377!4d76.9748237!15sCkRBdmFuYWt1emhpIFRvZGR5IFNob3AsIFRoaXJ1cHVyYW0sIFRoaXJ1dmFuYW50aGFwdXJhbSwgS2VyYWxhLCBJbmRpYVpCIkBhdmFuYWt1emhpIHRvZGR5IHNob3AgdGhpcnVwdXJhbSB0aGlydXZhbmFudGhhcHVyYW0ga2VyYWxhIGluZGlhkgEDYmFy4AEA!16s%2Fg%2F11c538xg_2?entry=ttu&g_ep=EgoyMDI2MDUyNi4wIKXMDSoASAFQAw%3D%3D",,,,,,,,,,1,0,0,
16,5,Aralumoodu,Aralumoodu,Thiruvananthapuram,Thirupuram,"Aralumoodu Toddy Shop, Thirupuram, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
17,1,Kattakkada,Kattakkada,Thiruvananthapuram,Kattakkada,"Kattakkada Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
18,2,Malayinkeezhu,Malayinkeezhu,Thiruvananthapuram,Kattakkada,"Malayinkeezhu Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
19,3,Vilavoorkal,Vilavoorkal,Thiruvananthapuram,Kattakkada,"Vilavoorkal Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
20,4,Peyad,Peyad,Thiruvananthapuram,Kattakkada,"Peyad Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
